"Third Audience Bot Analytics Export"
Generated,"2026-01-22 09:57:53 UTC"
"Total Records",124
Format,Detailed

ID,"Bot Type","Bot Name","User Agent",URL,"Post Title","Post Type","Request Method","Cache Status","Cache Explanation","Response Time (ms)","Response Size","IP Address",Referer,"Country Code","Visit Time (UTC)"
78,Unknown_Bot,Meta-externalagent,"meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/php-vs-nodejs,"PHP vs Node.js – Which is Better for Web Development?",post,md_url,MISS,"Generated fresh (first visit or cache expired)",29,"22.24 KB",2a03:2880:f802:38::,Direct,US,"2026-01-22 06:29:19"
77,Unknown,"Unknown Bot",axios/1.8.4,https://www.monocubed.com/contact-us/,"Contact Us",page,accept_header,REDIRECT,"Unknown status",,N/A,180.211.104.146,Direct,IN,"2026-01-22 06:28:43"
76,Unknown_Bot,Mozilla,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Amazonbot/0.1; +https://developer.amazon.com/support/amazonbot) Chrome/119.0.6045.214 Safari/537.36",https://www.monocubed.com/blog/python-vs-javascript,"Python Vs JavaScript: Which Language Is Best To Use?",post,md_url,MISS,"Generated fresh (first visit or cache expired)",39,"19.51 KB",44.207.252.58,Direct,US,"2026-01-22 06:24:30"
75,Unknown_Bot,Meta-externalagent,"meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/companies-that-use-python,"Top 7 Companies That Use Python Are Making A Mark In [year]",post,md_url,MISS,"Generated fresh (first visit or cache expired)",36,"19.46 KB",2a03:2880:f802:26::,Direct,US,"2026-01-22 06:23:19"
74,Unknown_Bot,Meta-externalagent,"meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/web-development-vs-software-development,"Web Development Vs Software Development: 7 Common Differences",post,md_url,MISS,"Generated fresh (first visit or cache expired)",39,"17.65 KB",2a03:2880:f802:f::,Direct,US,"2026-01-22 06:16:55"
73,Unknown,"Unknown Bot","meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/advantages-of-laravel-framework,"Top 9 Powerful Advantages of Laravel Over Other PHP Frameworks",post,md_url,MISS,"Generated fresh (first visit or cache expired)",24,"16.41 KB",2a03:2880:f802:31::,Direct,US,"2026-01-22 06:05:28"
72,Unknown,"Unknown Bot","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36; compatible; OAI-SearchBot/1.3; +https://openai.com/searchbot",https://www.monocubed.com/blog/how-to-create-web-portal,"How to Create a Web Portal From Scratch in 7 Steps",post,md_url,MISS,"Generated fresh (first visit or cache expired)",23,"20.13 KB",74.7.229.25,https://www.monocubed.com/blog/how-to-create-web-portal/,US,"2026-01-22 06:04:34"
71,Unknown,"Unknown Bot","meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/how-to-become-a-web-developer,"How to Become A Web Developer in [year] – A Detailed Guide",post,md_url,MISS,"Generated fresh (first visit or cache expired)",41,"28.96 KB",2a03:2880:f802:32::,Direct,US,"2026-01-22 06:00:29"
70,Unknown,"Unknown Bot","meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/nodejs-vs-python,"NodeJS vs Python: Which is Right for Your Backend Development Needs?",post,md_url,MISS,"Generated fresh (first visit or cache expired)",24,"15.56 KB",2a03:2880:f802:27::,Direct,US,"2026-01-22 05:59:52"
69,Unknown,"Unknown Bot","Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Amazonbot/0.1; +https://developer.amazon.com/support/amazonbot) Chrome/119.0.6045.214 Safari/537.36",https://www.monocubed.com/blog/wordpress-development-companies,"Top 10 WordPress Development Companies",post,md_url,MISS,"Generated fresh (first visit or cache expired)",48,"31.11 KB",54.91.122.193,Direct,US,"2026-01-22 05:53:58"
